Country,Fleet,Cod,Percentage.Cod,Cod Partial F,Haddock,Percentage.Haddock,Haddock Partial F,Whiting,Percentage.Whiting,Whiting Partial F
Belgium,OTB_CRU,28800,0.285581354,0.002864244,40047.36,0.397110393,0.000893383,31999.56,0.317308253,0.000704089
Belgium,SSC_DEF,23.94,0.005597015,2.38E-06,1018.93,0.238219149,2.27E-05,3234.41,0.756183836,7.12E-05
Belgium,TBB_DEF,78474,0.086866972,0.007804468,176053.12,0.1948824,0.00392742,648854.2,0.718250628,0.014276787
France,GNS_DEF,13455.72,0.402800021,0.001338211,19949.74,0.597199979,0.000445042,,0,0
France,GTR_DEF,32941.43,0.709540144,0.003276121,13485.02,0.290459856,0.000300826,,0,0
France,MIS_MIS,3387.85,0.009450121,0.000336932,21343.36,0.059535498,0.000476131,333766.84,0.931014381,0.007343896
France,OTB_DEF,1219873.05,0.075436096,0.121319929,7837428.81,0.484661117,0.174838547,7113644.26,0.439902787,0.156522036
France,OTT_CRU,162530.04,0.299936272,0.016164086,379351.87,0.700063728,0.008462639,,0,0
France,OTT_DEF,587845.55,0.178580696,0.058462953,2088500.08,0.63446223,0.046590576,615418.61,0.186957074,0.013541101
France,SSC_DEF,60875.26,0.201122063,0.006054222,197449.84,0.652342498,0.004404741,44353.08,0.146535439,0.000975904
Ireland,GNS_DEF,72386.35,0.24580596,0.007199033,94516.26,0.320953605,0.002108483,127583.13,0.433240435,0.002807221
Ireland,MIS_MIS,797.01,0.038343375,7.93E-05,18865.27,0.907589776,0.000420849,1123.84,0.054066848,2.47E-05
Ireland,OTB_CRU,,0,0,472959.48,1,0.010550852,0,0,0
Ireland,OTB_DEF,628352.96,0.052206815,0.062491533,3251380.7,0.270141531,0.072532292,8156108.04,0.677651654,0.179459443
Ireland,PTM_DEF,,0,0,,0,0,1923070.54,1,0.042313462
Ireland,SSC_DEF,85771.92,0.022273197,0.008530267,913505.68,0.23721857,0.020378623,2851625.31,0.740508233,0.062744521
Ireland,TBB_DEF,120348.16,0.15948704,0.011968975,527876.42,0.699549108,0.011775947,106370.65,0.140963852,0.002340481
Netherlands,OTM_SPF,,0,0,46227.74,0.751282101,0.001031255,15304.06,0.248717899,0.000336736
Netherlands,SSC_DEF,833.82,0.021636868,8.29E-05,1913.49,0.04965332,4.27E-05,35789.69,0.928709811,0.000787483
Spain,LLS_DEF,,0,0,109.08,1,2.43E-06,,0,0
Spain,MIS_MIS,,0,0,245.43,1,5.48E-06,,0,0
Spain,OTB_DEF,,0,0,54.78,0.260745395,1.22E-06,155.31,0.739254605,3.42E-06
UK (Channel Island Guernsey),MIS_MIS,4618.17,1,0.00045929,0,0,0,,0,0
UK (Channel Island Jersey),MIS_MIS,56.41,1,5.61E-06,0,0,0,,0,0
UK (England),GNS_DEF,150055,0.483003915,0.014923407,99844.36,0.321383604,0.002227343,60771,0.195612481,0.001337149
UK (England),GTR_DEF,7171.89,0.688476104,0.000713265,2109.95,0.202547746,4.71E-05,1135.21,0.10897615,2.50E-05
UK (England),LLS_FIF,8004.51,0.330513031,0.000796072,3769.79,0.155657838,8.41E-05,12444.14,0.513829132,0.000273809
UK (England),MIS_MIS,2740.03,0.201517691,0.000272504,773.61,0.056895764,1.73E-05,10083.33,0.741586545,0.000221864
UK (England),OTB_CRU,177.82,0.053615795,1.77E-05,2065.91,0.62290747,4.61E-05,1072.83,0.323476735,2.36E-05
UK (England),OTB_DEF,112749.29,0.053245434,0.011213245,1051753.64,0.496686753,0.023462679,953036.21,0.450067813,0.020969726
UK (England),OTB_SPF,1.03,1,1.02E-07,0,0,0,,0,0
UK (England),OTM_SPF,36,0.000768598,3.58E-06,,0,0,46802.52,0.999231402,0.001029799
UK (England),SSC_DEF,1049.3,0.079259809,0.000104356,47.45,0.003584178,1.06E-06,12141.99,0.917156013,0.000267161
UK (England),TBB_CRU,122.3,0.131590273,1.22E-05,215.43,0.231794706,4.81E-06,591.67,0.63661502,1.30E-05
UK (England),TBB_DEF,114858.63,0.154632855,0.011423025,227529.6,0.306320489,0.005075765,400394.6,0.539046655,0.008809912
UK(Northern Ireland),OTB_CRU,7937.11,0.101262594,0.000789369,65854.39,0.840178149,0.00146909,4589.96,0.058559256,0.000100993
UK(Northern Ireland),OTB_DEF,6055.38,0.268429487,0.000602225,15279.12,0.67730949,0.000340849,1224.05,0.054261023,2.69E-05
UK(Northern Ireland),OTM_DEF,,0,0,,0,0,10041.12,1,0.000220935
UK(Northern Ireland),PTM_SPF,,0,0,,0,0,1813.53,1,3.99E-05
UK(Northern Ireland),SSC_DEF,1252.29,0.002922885,0.000124544,321903.59,0.751333211,0.007181074,105287.3,0.245743905,0.002316644
UK(Scotland),OTB_CRU,642.36,0.028972434,6.39E-05,21189.77,0.955724532,0.000472705,339.29,0.015303034,7.47E-06
UK(Scotland),OTB_DEF,5028.78,0.209819165,0.000500127,16046.52,0.669519731,0.000357968,2891.91,0.120661103,6.36E-05
