Year,Reference Point,Cod,Haddock,Whiting
2015,MSY  Btrigger,10 300 t,10 000 t,40 000 t
2015,FMSY,0.32,0.4,0.32
2015,Blim,7 300 t,6 700 t,25 000 t
2015,Bpa,10 300 t,10 000 t,40 000 t
2015,Flim,0.78,1.41,0.5
2015,Fpa,0.56,0.89,Undefined
2015,SSB MGT,Undefined,Undefined,Undefined
2015,F MGT,Undefined,Undefined,Undefined
2016,MSY  Btrigger,10 300 t,10 000 t,35 000 t
2016,FMSY,0.35,0.4,0.52
2016,Blim,7 300 t,6 700 t,25 000 t
2016,Bpa,10 300 t,10 000 t,35 000 t
2016,Flim,0.8,1.41,1.12
2016,Fpa,0.58,0.89,0.8
2016,SSB MGT,Not applicable,Not applicable,Not applicable
2016,F MGT,Not applicable,Not applicable,Not applicable
2017,MSY  Btrigger,10 300 t,10 000 t,35 000 t
2017,FMSY,0.35,0.4,0.52
2017,Blim,7 300 t,6 700 t,25 000 t
2017,Bpa,10 300 t,10 000 t,35 000 t
2017,Flim,0.8,1.41,1.12
2017,Fpa,0.58,0.89,0.8
2017,SSB MGT,Not applicable,Not applicable,Not applicable
2017,F MGT,Not applicable,Not applicable,Not applicable
2018,MSY Btrigger,10 300 t,10 000 t,35 000 t
2018,FMSY,0.35,0.4,0.52
2018,Blim,7 300 t,6 700 t,25 000 t
2018,Bpa,10 300 t,10 000 t,35 000 t
2018,Flim,0.8,1.41,1.12
2018,Fpa,0.58,0.89,0.8
2018,MAP MSY Btrigger,10 300 t,10 000 t,35 000 t
2018,MAP  Bpa,Not applicable,Not applicable,35 000 t
2018,MAP Blim,7 300 t,6700 t,25 000 t
2018,MAP FMSY,0.35,0.4,0.52
2018,MAP range Flower,0.23,0.26,0.32
2018,MAP range Fupper,0.55,0.6,0.67
2019,MSY Btrigger,10 300 t,10 000 t,35 000 t
2019,FMSY,0.35,0.4,0.52
2019,Blim,7 300t,6 700 t,25 000 t
2019,Bpa,10 300 t,10 000 t,35 000 t
2019,Flim,0.8,1.41,1.12
2019,Fpa,0.58,0.89,0.8
2019,MAP MSY Btrigger,10 300 t,10 000 t,35 000 t
2019,MAP  Bpa,Not applicable,Not applicable,35 000 t
2019,MAP Blim,7 300 t,6700 t,25 000 t
2019,MAP FMSY,0.35,0.4,0.52
2019,MAP range Flower,0.23,0.26,0.32
2019,MAP range Fupper,0.55,0.6,0.67
