"","stock","scenario","BE","EN","FR","IE","OT","SP"
"1","COD-CS","cod-cs",0,0,0,0,0,0
"2","COD-CS","had-cs",0.027480428,0.083512518,0.591556593,0.272062898,0.025387562,0
"3","COD-CS","max",0.037165843,0.095395604,0.579162346,0.252492988,0.035783219,0
"4","COD-CS","min",0,0,0,0,0,0
"5","COD-CS","sq_E",0.037838176,0.079189718,0.589639437,0.255748771,0.037583898,0
"6","COD-CS","val",0.044171121,0.084157955,0.57880224,0.245940976,0.046927708,0
"7","COD-CS","whg-cs",0.032145299,0.068073825,0.570926747,0.328854129,0,0
"8","HAD-CS","cod-cs",0,0,0.42227169,0,0,0.57772831
"9","HAD-CS","had-cs",0.014354082,0.081555564,0.589421895,0.254968507,0.059680934,0.000019
"10","HAD-CS","max",0.018047834,0.141310773,0.542222527,0.220197467,0.078195254,0.0000261
"11","HAD-CS","min",0,0,0.390085352,0,0,0.609914648
"12","HAD-CS","sq_E",0.0180369,0.140468825,0.541894025,0.218952149,0.080621971,0.0000261
"13","HAD-CS","val",0.021018438,0.127958711,0.540434239,0.21012432,0.100437317,0.000027
"14","HAD-CS","whg-cs",0.015914138,0.144256832,0.546626208,0.293158319,0,0.0000445
"15","MON-CS","cod-cs",0,0,0.99938341,0,0,0.00061659
"16","MON-CS","had-cs",0.059458689,0.178887483,0.518192991,0.194862342,0.048498295,0.000100201
"17","MON-CS","max",0.074728544,0.218737113,0.475670154,0.167350497,0.063377619,0.000136074
"18","MON-CS","min",0,0,0.999368581,0,0,0.000631419
"19","MON-CS","sq_E",0.075789785,0.202348633,0.488192991,0.167217949,0.066312635,0.000138006
"20","MON-CS","val",0.081358966,0.209012234,0.483469859,0.150272785,0.075755504,0.000130652
"21","MON-CS","whg-cs",0.066919815,0.191146209,0.513561881,0.228133551,0,0.000238543
"22","N-HKE","cod-cs",0,0,0.22533131,0,0,0.77466869
"23","N-HKE","had-cs",0.00584163,0.038988197,0.075729043,0.079876901,0.682201155,0.117363074
"24","N-HKE","max",0.005960162,0.029081919,0.062801264,0.055881818,0.723220214,0.123054624
"25","N-HKE","min",0,0,0.203792448,0,0,0.796207552
"26","N-HKE","sq_E",0.005875295,0.02024668,0.062190178,0.054892622,0.735492773,0.121302452
"27","N-HKE","val",0.00579606,0.018806493,0.054651441,0.044196555,0.771152956,0.105396496
"28","N-HKE","whg-cs",0.013940004,0.049500299,0.169771857,0.201189276,0,0.565598564
"29","N-MEG","cod-cs",0,0,0.999931992,0,0,0.000068
"30","N-MEG","had-cs",0.033927047,0.090665968,0.283457586,0.543202426,0.048742993,0.00000398
"31","N-MEG","max",0.043438314,0.149798997,0.26558945,0.476279493,0.064888187,0.00000556
"32","N-MEG","min",0,0,0.999931793,0,0,0.0000682
"33","N-MEG","sq_E",0.043341887,0.151640822,0.267411731,0.470806126,0.066793886,0.00000555
"34","N-MEG","val",0.048143035,0.16566606,0.274458036,0.43276045,0.078966985,0.00000544
"35","N-MEG","whg-cs",0.034230996,0.141822004,0.25086507,0.573073358,0,0.00000857
"36","SOL-7E","cod-cs",0,0,1,0,0,0
"37","SOL-7E","had-cs",0.094471451,0.719434877,0.172144978,0.000328268,0.013620426,0
"38","SOL-7E","max",0.108546437,0.728566214,0.146300189,0.000263074,0.016324086,0
"39","SOL-7E","min",0,0,1,0,0,0
"40","SOL-7E","sq_E",0.110126346,0.724004308,0.14851643,0.000266903,0.017086013,0
"41","SOL-7E","val",0.115202109,0.737362113,0.128065403,0.000228269,0.019142106,0
"42","SOL-7E","whg-cs",0.127995476,0.677239177,0.194293696,0.000471651,0,0
"43","SOL-7FG","cod-cs",0,0,1,0,0,0
"44","SOL-7FG","had-cs",0.639212423,0.185991576,0.082554082,0.091915941,0.000325978,0
"45","SOL-7FG","max",0.686514777,0.183929848,0.062012741,0.067178116,0.000364517,0
"46","SOL-7FG","min",0,0,1,0,0,0
"47","SOL-7FG","sq_E",0.685040336,0.186677656,0.063084235,0.064822523,0.00037525,0
"48","SOL-7FG","val",0.697715199,0.184268554,0.060172833,0.057435839,0.000407575,0
"49","SOL-7FG","whg-cs",0.675825805,0.149969254,0.075183065,0.099021877,0,0
"50","WHG-CS","cod-cs",0,0,1,0,0,0
"51","WHG-CS","had-cs",0.008874581,0.033961333,0.483249045,0.445014148,0.028900893,0
"52","WHG-CS","max",0.011987701,0.055448584,0.476699075,0.415167341,0.040697299,0
"53","WHG-CS","min",0,0,1,0,0,0
"54","WHG-CS","sq_E",0.011984007,0.053982934,0.477247647,0.414812612,0.041972801,0
"55","WHG-CS","val",0.014197049,0.051367478,0.48003459,0.401216831,0.053184051,0
"56","WHG-CS","whg-cs",0.009605576,0.049171293,0.436812798,0.504410332,0,0
