Area,Gear Type,Target assemblage,Métier label
West of Scotland (Division 6.a) and Rockall (Division 6.b),Pots and traps,Crustaceans,FPO_CRU
West of Scotland (Division 6.a) and Rockall (Division 6.b),Gillnets,Demersal fish,GNS_DEF
West of Scotland (Division 6.a) and Rockall (Division 6.b),Longline,Finfish,LLS_FIF
West of Scotland (Division 6.a) and Rockall (Division 6.b),Otter trawl,Crustaceans,OTB_CRU
West of Scotland (Division 6.a) and Rockall (Division 6.b),Otter trawl,Demersal fish,OTB_DEF
West of Scotland (Division 6.a) and Rockall (Division 6.b),Otter trawl,Deep-water species,OTB_DWS
West of Scotland (Division 6.a) and Rockall (Division 6.b),Otter trawl,Molluscs,OTB_MOL
West of Scotland (Division 6.a) and Rockall (Division 6.b),Mid-water trawl,Demersal fish,OTM_DEF
West of Scotland (Division 6.a) and Rockall (Division 6.b),Mid-water trawl,Small pelagic fish,OTM_SPF
West of Scotland (Division 6.a) and Rockall (Division 6.b),Seines,Small pelagic fish,SSC_SPF
West of Scotland (Division 6.a) and Rockall (Division 6.b),Others,Miscellaneous,MIS_MIS
Irish Sea (Division 7.a),Pots and traps,Crustaceans,FPO_CRU
Irish Sea (Division 7.a),Pots and traps,Molluscs,FPO_MOL
Irish Sea (Division 7.a),Gillnets,Demersal fish,GNS_DEF
Irish Sea (Division 7.a),Otter trawl,Crustaceans,OTB_CRU
Irish Sea (Division 7.a),Otter trawl,Demersal fish,OTB_DEF
Irish Sea (Division 7.a),Otter trawl,Molluscs,OTB_MOL
Irish Sea (Division 7.a),Beam trawl,Demersal fish,TBB_DEF
Irish Sea (Division 7.a),Others,Miscellaneous,MIS_MIS
West of Ireland (divisions 7.b–c) and Celtic Sea slope (divisions 7.k–j),Gillnets,Demersal fish,GNS_DEF
West of Ireland (divisions 7.b–c) and Celtic Sea slope (divisions 7.k–j),Gillnets,Deep-water species,GNS_DWS
West of Ireland (divisions 7.b–c) and Celtic Sea slope (divisions 7.k–j),Otter trawl,Crustaceans,OTB_CRU
West of Ireland (divisions 7.b–c) and Celtic Sea slope (divisions 7.k–j),Otter trawl,Demersal fish,OTB_DEF
West of Ireland (divisions 7.b–c) and Celtic Sea slope (divisions 7.k–j),Otter trawl,Deep-water species,OTB_DWS
West of Ireland (divisions 7.b–c) and Celtic Sea slope (divisions 7.k–j),Otter trawl,Molluscs,OTB_MOL
West of Ireland (divisions 7.b–c) and Celtic Sea slope (divisions 7.k–j),Otter trawl,Small pelagic fish,OTB_SPF
West of Ireland (divisions 7.b–c) and Celtic Sea slope (divisions 7.k–j),Midwater trawl,Small pelagic fish,OTM_SPF
West of Ireland (divisions 7.b–c) and Celtic Sea slope (divisions 7.k–j),Midwater trawl,Demersal fish,OTM_DEF
