Year,Metier,Stock,value
2014,GNS_DEF,COD,152.102
2014,GTR_DEF,COD,39.524
2014,LLS_FIF,COD,3.942
2014,MIS_MIS,COD,20.3152
2014,OTB_CRU,COD,214.383
2014,OTB_DEF,COD,1982.233
2014,OTH,COD,199.186
2014,OTM_DEF,COD,0
2014,OTT_CRU,COD,155
2014,OTT_DEF,COD,477
2014,SSC_DEF,COD,309.0862
2014,TBB_DEF,COD,317.084
2014,GNS_DEF,HAD,108.924
2014,GTR_DEF,HAD,8.991
2014,LLS_FIF,HAD,2.286
2014,MIS_MIS,HAD,79.4839
2014,OTB_CRU,HAD,181.0798
2014,OTB_DEF,HAD,5913.686
2014,OTH,HAD,286.456
2014,OTT_CRU,HAD,67
2014,OTT_DEF,HAD,1629
2014,SSC_DEF,HAD,1111.0409
2014,TBB_DEF,HAD,343.658
2014,GNS_DEF,WHG,39.488
2014,GTR_DEF,WHG,2.389
2014,LLS_FIF,WHG,3.506
2014,MIS_MIS,WHG,307.3576
2014,OTB_CRU,WHG,97.1131
2014,OTB_DEF,WHG,8636.767
2014,OTH,WHG,445.371
2014,OTT_DEF,WHG,441
2014,SSC_DEF,WHG,2909.294
2014,TBB_DEF,WHG,240.15
2015,GNS_DEF,COD,156.371
2015,GTR_DEF,COD,47.686
2015,LLS_FIF,COD,16.611
2015,MIS_MIS,COD,39.7014
2015,OTB_CRU,COD,222.0766
2015,OTB_DEF,COD,2078.019
2015,OTH,COD,246.8239
2015,OTT_CRU,COD,142
2015,OTT_DEF,COD,661
2015,SSC_DEF,COD,209.4479
2015,TBB_DEF,COD,323.383
2015,GNS_DEF,HAD,54.883
2015,GTR_DEF,HAD,2.085
2015,LLS_FIF,HAD,0.695
2015,MIS_MIS,HAD,81.786
2015,OTB_CRU,HAD,171.0973
2015,OTB_DEF,HAD,4973.921
2015,OTH,HAD,294.1154
2015,OTT_CRU,HAD,79
2015,OTT_DEF,HAD,1619
2015,SSC_DEF,HAD,877.5215
2015,TBB_DEF,HAD,376.291
2015,GNS_DEF,WHG,44.578
2015,GTR_DEF,WHG,1.228
2015,LLS_FIF,WHG,7.467
2015,MIS_MIS,WHG,494.093
2015,OTB_CRU,WHG,124.0284
2015,OTB_DEF,WHG,9343.086
2015,OTH,WHG,497.1073
2015,OTT_DEF,WHG,282
2015,SSC_DEF,WHG,2226.1003
2015,TBB_DEF,WHG,177.755
2016,GNS_DEF,COD,154.7673
2016,GTR_DEF,COD,38.446
2016,LLS_FIF,COD,7.912
2016,MIS_MIS,COD,12.6738
2016,OTB_CRU,COD,162.362
2016,OTB_DEF,COD,1611.039
2016,OTH,COD,131.1519
2016,OTT_CRU,COD,157
2016,OTT_DEF,COD,571
2016,SSC_DEF,COD,196.9996
2016,TBB_DEF,COD,229.373
2016,GNS_DEF,HAD,103.334
2016,GTR_DEF,HAD,6.2
2016,LLS_FIF,HAD,1.384
2016,MIS_MIS,HAD,141.229
2016,OTB_CRU,HAD,196.8541
2016,OTB_DEF,HAD,4473.837
2016,OTH,HAD,212.6363
2016,OTT_CRU,HAD,111
2016,OTT_DEF,HAD,1142
2016,SSC_DEF,HAD,745.1293
2016,TBB_DEF,HAD,339.666
2016,GNS_DEF,WHG,48.7395
2016,GTR_DEF,WHG,1.06
2016,LLS_FIF,WHG,12.07
2016,MIS_MIS,WHG,764.454
2016,OTB_CRU,WHG,99.424
2016,OTB_DEF,WHG,10812.18
2016,OTH,WHG,618.6664
2016,OTT_DEF,WHG,291
2016,SSC_DEF,WHG,2296.9357
2016,TBB_DEF,WHG,250.095
2017,GNS_DEF,COD,73.6918
2017,GTR_DEF,COD,3.004
2017,LLS_FIF,COD,2.023
2017,OTB_CRU,COD,135.80317
2017,OTB_DEF,COD,1094.45409
2017,OTH,COD,127.30816
2017,OTM_DEF,COD,13.74519
2017,OTT_CRU,COD,84.98814
2017,OTT_DEF,COD,428.01977
2017,SSC_DEF,COD,125.72229
2017,TBB_DEF,COD,129.3
2017,GNS_DEF,HAD,123.604
2017,GTR_DEF,HAD,1.144
2017,LLS_FIF,HAD,1.83
2017,OTB_CRU,HAD,208.44123
2017,OTB_DEF,HAD,4592.6112
2017,OTH,HAD,424.8902
2017,OTM_DEF,HAD,53.06151
2017,OTT_CRU,HAD,115.39338
2017,OTT_DEF,HAD,1161.01265
2017,SSC_DEF,HAD,935.83769
2017,TBB_DEF,HAD,295.031
2017,GNS_DEF,WHG,37.972
2017,GTR_DEF,WHG,0.846
2017,LLS_FIF,WHG,5.8984
2017,OTB_CRU,WHG,117.1452
2017,OTB_DEF,WHG,9202.03221
2017,OTH,WHG,616.14113
2017,OTM_DEF,WHG,122.46173
2017,OTT_CRU,WHG,20.24911
2017,OTT_DEF,WHG,197.3237
2017,SSC_DEF,WHG,1880.20187
2017,TBB_DEF,WHG,168.141
